Rank,NCT Number,Title,Acronym,Status,Conditions.1,Conditions.2,Conditions.3,Conditions.4,Conditions.5,Conditions.6,Conditions.7,Interventions,Sponsor/Collaborators,Gender,Age,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,First Posted,Last Update Posted,Locations.1,Country,Generalized Condition,Has Chronic Condition,Condition Count,Total Days Taken
1.0,NCT04785898,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,COVID-IDNow,"Active, not recruiting",COVID-19,,,,,,,Diagnostic Test: ID Now™ COVID-19 Screening Test,Groupe Hospitalier Paris Saint Joseph,All,"18 Years and older   (Adult, Older Adult)",1000.0,Other,Interventional,2020-09-11,22/12/20,2021-04-30,08/03/21,08/03/21,"Groupe Hospitalier Paris Saint-Joseph, Paris, Ile De France",France,Respiratory Diseases,1,1,231.0
2.0,NCT04595136,Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient,COVID-19,Not yet recruiting,COVID-19,,,,,,,Drug: Drug COVID19-0001-USR|Drug: normal saline,United Medical Specialties,All,"18 Years and older   (Adult, Older Adult)",60.0,Other,Interventional,2020-02-11,15/12/20,2021-01-29,20/10/20,20/10/20,"Cimedical, Barranquilla, Atlantico",Colombia,Respiratory Diseases,1,1,353.0
3.0,NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,TAC-COVID19,Recruiting,COVID-19,,,,,,,Other: Lung CT scan analysis in COVID-19 patients,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",500.0,Other,Observational,2020-07-05,15/06/21,2021-06-15,20/05/20,09/11/20,"Ospedale Papa Giovanni XXIII, Bergamo, Italy|Policlinico San Marco-San Donato group, Bergamo, Italy|Azienda Ospedaliero-Universitaria di Ferrara, Ferrara, Italy|ASST di Lecco Ospedale Alessandro Manzoni, Lecco, Italy|ASST Melegnano-Martesana, Ospedale Santa Maria delle Stelle, Melzo, Italy|ASST Monza, Monza, Italy|AUSL Romagna-Ospedale Infermi di Rimini, Rimini, Italy|Istituto per la Sicurezza Sociale-Ospedale della Repubblica di San Marino, San Marino",San Marino,Respiratory Diseases,1,1,345.0
4.0,NCT04416061,The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic,COVID-19,"Active, not recruiting",COVID-19,,,,,,,Diagnostic Test: COVID 19 Diagnostic Test,Hong Kong Sanatorium & Hospital,All,"Child, Adult, Older Adult",2500.0,Industry,Observational,2020-05-25,31/07/20,2020-08-31,04/06/20,04/06/20,"Hong Kong Sanatorium & Hospital, Hong Kong",Hong Kong,Respiratory Diseases,1,1,98.0
5.0,NCT04395924,Maternal-foetal Transmission of SARS-Cov-2,TMF-COVID-19,Recruiting,Maternal Fetal Infection Transmission,COVID-19,SARS-CoV 2,,,,,"Diagnostic Test: Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta",Centre Hospitalier Régional d'Orléans|Centre de Biophysique Moléculaire - Pr Chantal Pichon|Professeur TOUMI Hechmi,Female,18 Years to 48 Years   (Adult),50.0,Other,Observational,2020-05-05,01/05/21,2021-01-05,20/05/20,04/06/20,"CHR Orléans, Orléans",France,Respiratory Diseases,1,3,245.0
6.0,NCT04516954,Convalescent Plasma for COVID-19 Patients,CPCP,Enrolling by invitation,COVID-19,,,,,,,Biological: Convalescent COVID 19 Plasma,"Vinmec Research Institute of Stem Cell and Gene Technology|National Institute of Hygiene and Epidemiology, Vietnam|National Hospital for Tropical Diseases, Hanoi, Vietnam|National Institute of Hematology and Blood Transfusion, Vietnam",All,"18 Years to 75 Years   (Adult, Older Adult)",10.0,Other,Interventional,2020-01-08,30/11/20,2020-12-30,18/08/20,20/08/20,"Vinmec Research Institute of Stem cell and Gene Technology, Hanoi",Vietnam,Respiratory Diseases,1,1,357.0
7.0,NCT04476940,COVID-19 Breastfeeding Guideline for African-Americans,COVID-BF,Not yet recruiting,COVID-19,Exclusive Breastfeeding,,,,,,Behavioral: COVID-19 Breastfeeding Support,Meharry Medical College,Female,18 Years to 45 Years   (Adult),200.0,Other,Interventional,2020-01-09,01/10/21,2022-01-06,20/07/20,20/07/20,"Meharry Medical College, Nashville, Tennessee",United States,Respiratory Diseases,1,2,728.0
8.0,NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,COVID19,Not yet recruiting,COVID-19,Type2 Diabetes,,,,,,,India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,All,"18 Years to 99 Years   (Adult, Older Adult)",1050.0,Other,Observational,2020-11-16,16/02/21,2021-05-16,18/11/20,18/11/20,"Orthomed Hospital, Chennai, Tamil Nadu, India|Medway Hospital, Chennai, Tamil Nadu, India|Venkateswara Hospital, Chennai, Tamil Nadu, India|Dr. Rela Institute & Medical Center, Chennai, Tamil Nadu",India,"Metabolic Disorders, Respiratory Diseases",1,2,181.0
9.0,NCT04602884,Early Detection of COVID-19 Using Breath Analysis,COVID-19,Suspended,COVID-19,,,,,,,Diagnostic Test: Breath biopsy sampling using the ReCIVA Breath Sampler,Scentech Medical Technologies Ltd,All,18 Years to 55 Years   (Adult),50.0,Industry,Interventional,2020-09-22,30/12/21,2021-12-30,26/10/20,13/04/21,"IDF COVID 19 Isolation Facility, Ashkelon",Israel,Respiratory Diseases,1,1,464.0
10.0,NCT04384588,COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID),FALP-COVID,Recruiting,COVID-19,Cancer Patients,General Population,,,,,Biological: Convalescent Plasma from COVID-19 donors,Fundacion Arturo Lopez Perez|Confederación de la Producción y del Comercio (CPC)|Bolsa de Santiago,All,"15 Years and older   (Child, Adult, Older Adult)",100.0,Other,Interventional,2020-07-04,06/04/21,2021-06-04,12/05/20,12/05/20,"Fundacion Arturo Lopez Perez, Providencia, Santiago",Chile,"Respiratory Diseases, Cancers",1,3,335.0
